1041: 1.815416, 2.034374 avg, 0.004000 rate, 4.691729 seconds, 266496 images
1042: 2.049833, 2.035920 avg, 0.004000 rate, 4.901449 seconds, 266752 images
1043: 1.966716, 2.029000 avg, 0.004000 rate, 4.887400 seconds, 267008 images
1056: 1.913453, 2.017445 avg, 0.004000 rate, 5.250646 seconds, 270336 images
1057: 1.341390, 1.949839 avg, 0.004000 rate, 4.717553 seconds, 270592 images
1058: 1.604682, 1.915324 avg, 0.004000 rate, 4.725588 seconds, 270848 images
1059: 1.577250, 1.881516 avg, 0.004000 rate, 4.917798 seconds, 271104 images
1072: 1.520323, 1.845397 avg, 0.004000 rate, 5.255087 seconds, 274432 images
1073: 1.337919, 1.794649 avg, 0.004000 rate, 4.660222 seconds, 274688 images
1074: 1.309027, 1.746087 avg, 0.004000 rate, 4.873382 seconds, 274944 images
1075: 1.465904, 1.718069 avg, 0.004000 rate, 4.870235 seconds, 275200 images
1088: 1.479686, 1.694230 avg, 0.004000 rate, 5.156792 seconds, 278528 images
1089: 1.170093, 1.641817 avg, 0.004000 rate, 4.707243 seconds, 278784 images
1090: 1.174361, 1.595071 avg, 0.004000 rate, 4.781047 seconds, 279040 images
1091: 1.241999, 1.559764 avg, 0.004000 rate, 4.876004 seconds, 279296 images
1104: 1.357363, 1.539524 avg, 0.004000 rate, 5.168202 seconds, 282624 images
1105: 1.165661, 1.502137 avg, 0.004000 rate, 4.815453 seconds, 282880 images
1106: 1.259524, 1.477876 avg, 0.004000 rate, 4.832198 seconds, 283136 images
1107: 1.200916, 1.450180 avg, 0.004000 rate, 4.954489 seconds, 283392 images
1120: 1.188099, 1.423972 avg, 0.004000 rate, 5.153347 seconds, 286720 images
1121: 1.084542, 1.390029 avg, 0.004000 rate, 4.752063 seconds, 286976 images
1122: 1.189837, 1.370010 avg, 0.004000 rate, 4.841952 seconds, 287232 images
1123: 1.263767, 1.359385 avg, 0.004000 rate, 4.920387 seconds, 287488 images
1136: 1.121333, 1.335580 avg, 0.004000 rate, 5.078779 seconds, 290816 images
1137: 1.014780, 1.303500 avg, 0.004000 rate, 4.744577 seconds, 291072 images
1138: 1.129608, 1.286111 avg, 0.004000 rate, 4.862945 seconds, 291328 images
1139: 1.162093, 1.273709 avg, 0.004000 rate, 4.852095 seconds, 291584 images
1152: 1.068593, 1.253198 avg, 0.004000 rate, 5.187056 seconds, 294912 images
1153: 0.901183, 1.217996 avg, 0.004000 rate, 4.539278 seconds, 295168 images
1154: 1.191807, 1.215377 avg, 0.004000 rate, 4.797863 seconds, 295424 images
1155: 1.004058, 1.194245 avg, 0.004000 rate, 4.923933 seconds, 295680 images
1168: 1.202514, 1.195072 avg, 0.004000 rate, 5.237066 seconds, 299008 images
1169: 0.907436, 1.166309 avg, 0.004000 rate, 4.550353 seconds, 299264 images
1170: 1.037967, 1.153474 avg, 0.004000 rate, 4.940130 seconds, 299520 images
1171: 0.913703, 1.129497 avg, 0.004000 rate, 4.879955 seconds, 299776 images
1184: 1.007950, 1.117343 avg, 0.004000 rate, 5.228222 seconds, 303104 images
